Id,Answer,Label,Time
31556268,Training,training,2.636521816253662
31627380,Training,model,1.7223970890045166
31880720,Training,model,2.060518503189087
33702251,API,api,1.6794962882995605
33712178,Training,training,1.1782448291778564
33711427,API,tensor,1.0713510513305664
33859864,API,training,1.0640184879302979
33969059,Training,model,2.0283448696136475
34311586,Training,model,1.298125982284546
34328233,Tensors&Inputs,api,1.1087322235107422
34673164,Training,training,1.4969990253448486
34775522,GPU Usage,gpu,1.3941638469696045
34900246,API,api,0.9541819095611572
35413618,Tensors&Inputs,api,1.3146569728851318
35968973,Tensors&Inputs,api,0.9187448024749756
36007883,API,api,2.056443214416504
36136562,Tensors&Inputs,tensor,0.9844529628753662
36565430,Training,model,1.7454309463500977
36599237,API,api,1.271496057510376
36854940,GPU Usage,gpu,1.817108154296875
37213388,Training,training,1.7981126308441162
37232782,Training,training,1.0361649990081787
37624102,Training,training,1.0800340175628662
37891954,Tensors&Inputs,api,1.5922284126281738
38056110,Tensors&Inputs,training,2.064901828765869
38272699,API,api,0.8786163330078125
38294046,Tensors&Inputs,tensor,1.136003017425537
38546903,API,training,1.088460922241211
38584268,Tensors&Inputs,tensor,1.5279884338378906
38648195,Training,training,1.0311992168426514
38760621,GPU Usage,gpu,1.3945484161376953
38987680,Tensors&Inputs,tensor,1.1883883476257324
39076388,GPU Usage,training,1.9527170658111572
39114832,API,api,1.0640373229980469
39217567,Training,training,0.9374704360961914
39357454,API,api,0.9988584518432617
39525358,Training,training,0.9990024566650391
39714374,Training,training,1.73760986328125
39810655,Training,training,1.6467270851135254
40179209,Tensors&Inputs,training,1.166616678237915
40403297,GPU Usage,gpu,5.3292236328125
40511562,API,api,0.9606070518493652
40578598,Tensors&Inputs,tensor,1.0404016971588135
40726039,GPU Usage,gpu,1.4224827289581299
40827085,API,api,0.8988065719604492
40857445,Tensors&Inputs,tensor,1.5619468688964844
41327601,Training,training,1.4532830715179443
41530218,Others,training,1.579117774963379
41482913,API,api,1.6480376720428467
41600519,Training,training,0.9875354766845703
41651628,Tensors&Inputs,tensor,1.1917529106140137
41823555,GPU Usage,training,0.9558804035186768
41813665,API,api,1.5650193691253662
41942538,GPU Usage,gpu,0.9399073123931885
41910617,API,tensor,1.5399115085601807
41977498,Training,training,0.8381741046905518
42064941,API,training,0.9612658023834229
42217059,API,api,1.4587578773498535
42281589,API,tensor,0.9802184104919434
42353056,API,model,0.9716625213623047
42327543,Training,training,1.0713837146759033
42513613,Tensors&Inputs,tensor,1.6581323146820068
42514960,Training,model,1.261380672454834
42655764,Tensors&Inputs,api,5.263537883758545
42652161,API,tensor,1.1936802864074707
42616625,API,api,1.6417944431304932
42800203,Training,model,1.735588550567627
42823627,API,api,1.6142706871032715
42913869,Tensors&Inputs,tensor,1.2005879878997803
43152053,API,model,0.9486329555511475
43172922,Tensors&Inputs,api,1.0246086120605469
43329789,API,api,1.0526249408721924
43396572,Tensors&Inputs,tensor,1.622074842453003
43464835,Tensors&Inputs,tensor,1.2801883220672607
43511819,API,api,2.705355405807495
43542226,Tensors&Inputs,training,1.0561871528625488
43509881,API,api,0.9907732009887695
